0	170186	361881	31413	354075	817163	699140	150275	35842	91008	265104	823320	251006	34674	395925	29119	88641	386047	167143	357482	868755	480171	1099469	548975	41193	217041	613655	551402	64333	554219	653523	995706	30479	682239	438590	157197	569917	499132	593891	31825	82304
170186	0	363896	147356	449088	819178	701154	190433	141749	82089	360118	818220	253021	142402	490939	152869	164206	388061	162044	399109	863656	575184	1094369	643989	216825	388746	615670	593028	162549	649233	748537	990607	139083	677140	533604	75518	664930	501146	688905	138903	254009
361881	363896	0	339959	366287	493346	340370	239817	358706	355615	411968	1146351	115182	357538	542617	333324	277806	108210	490175	226829	1191345	497724	1422500	572089	394096	573205	254886	342679	305075	700911	649244	1318737	355398	1005270	585282	386199	470793	172579	685814	354688	438468
31413	147356	339959	0	340171	798884	680860	131995	22263	71898	251201	810372	232727	21559	382022	10734	70362	367767	154196	343579	855367	466267	1086521	535072	70417	242337	595376	537499	42511	540316	639620	982759	19420	669292	424687	138087	556014	480852	579988	18710	107600
354075	449088	366287	340171	0	740237	655465	246157	356626	397975	121123	1144272	277364	355458	201217	331166	305767	342114	488095	216607	1189707	166582	1420420	235387	346310	459380	549016	231741	302916	301979	332810	1316658	353319	1003191	245617	464165	236869	422205	344870	352609	431552
817163	819178	493346	798884	740237	0	198651	689863	808751	805660	790442	1596396	563955	807583	921092	783369	727851	429613	940220	567240	1641831	795061	1872545	869427	844141	1023250	246004	568525	755120	991416	852915	1768782	805443	1455315	963756	836244	696640	324987	983152	804733	888513
699140	701154	340370	680860	655465	198651	0	585929	704817	701726	706061	1492462	461294	703649	836710	679436	623917	345231	836286	482858	1537898	710680	1768611	785045	740208	919316	103657	484143	651186	907035	768533	1664849	701510	1351382	879374	732310	612258	240606	898770	700800	784579
150275	190433	239817	131995	246157	689863	585929	0	149838	191187	199126	937483	126834	148670	329947	124456	68938	261874	281307	237880	982477	414192	1213632	482997	185228	364337	489483	431800	96207	488241	587544	1109869	146530	796402	372611	228669	472146	374959	527913	145820	229600
35842	141749	358706	22263	356626	808751	704817	149838	0	62372	266254	787345	247661	177	397075	25198	82524	382702	131168	358632	832780	481320	1063493	550125	75396	247316	610310	552551	55905	555368	654672	959731	6355	646264	439739	128562	571066	495786	595041	8769	112579
91008	82089	355615	71898	397975	805660	701726	191187	62372	0	308453	768569	247581	64044	439274	74511	124723	382622	112393	400831	814004	523519	1044718	592324	138468	310388	610230	594750	107203	597568	696871	940956	60726	627489	481938	75030	613265	495707	637240	70339	175651
265104	360118	411968	251201	121123	790442	706061	199126	266254	308453	0	1054522	294077	265709	127760	241416	216018	391400	398346	293398	1099957	215757	1330671	284561	247164	343992	598301	344557	213167	315799	389109	1226909	263569	913442	176694	374415	305503	471490	353854	262523	341803
823320	818220	1146351	810372	1144272	1596396	1492462	937483	787345	768569	1054522	0	1036228	787412	1185641	811429	871091	1171268	663418	1147198	296349	1269886	314392	1338691	862051	1023812	1398877	1341117	841698	1343935	1443239	194482	797755	148523	1228306	747069	1359632	1284353	1383607	790346	886438
251006	253021	115182	232727	277364	563955	461294	126834	247661	247581	294077	1036228	0	247316	425655	223103	167584	132764	379953	203038	1081124	432952	1312278	501757	283875	462983	367406	367233	194853	583948	599181	1208516	245177	895049	468319	275977	490855	245849	604493	244209	328246
34674	142402	357538	21559	355458	807583	703649	148670	177	64044	265709	787412	247316	0	397166	25288	82615	382793	131259	358723	832430	481411	1063584	550216	75487	247407	610401	552642	55995	555459	654763	959822	6446	646355	439830	128653	571157	495877	595132	8860	112670
395925	490939	542617	382022	201217	921092	836710	329947	397075	439274	127760	1185641	425655	397166	0	370675	345276	520516	527604	422514	1228775	157153	1459930	182797	336205	339248	727418	379736	342426	170837	330505	1356167	392828	1042700	56288	503674	311940	600607	217321	391782	393260
29119	152869	333324	10734	331166	783369	679436	124456	25198	74511	241416	811429	223103	25288	370675	0	61490	358896	156055	334708	857226	457396	1088381	526201	64463	253523	586504	528627	33639	531444	630748	984618	24274	671151	415815	140877	547142	471980	571117	24437	118786
88641	164206	277806	70362	305767	727851	623917	68938	82524	124723	216018	871091	167584	82615	345276	61490	0	301654	214957	299470	916128	430943	1147282	499748	122168	301276	529262	493389	33146	504992	604295	1043520	80181	730053	389362	191027	520689	414739	544664	87674	166539
386047	388061	108210	367767	342114	429613	345231	261874	382702	382622	391400	1171268	132764	382793	520516	358896	301654	0	507781	171281	1208952	399103	1440106	473468	411703	590811	242212	244058	322681	595457	550623	1336344	373005	1022877	567797	403805	372172	115401	587193	372037	456074
167143	162044	490175	154196	488095	940220	836286	281307	131168	112393	398346	663418	379953	131259	527604	156055	214957	507781	0	490598	709131	613286	940286	682091	205451	367212	742277	684518	185098	687335	786639	836523	141155	523056	571706	90469	703032	627753	727007	133746	229838
357482	399109	226829	343579	216607	567240	482858	237880	358632	400831	293398	1147198	203038	358723	422514	334708	299470	171281	490598	0	1192224	298411	1423379	372776	355381	569248	376120	192713	305875	494765	449931	1319617	356277	1006149	467895	467123	286611	249309	486501	355231	434511
868755	863656	1191345	855367	1189707	1641831	1537898	982477	832780	814004	1099957	296349	1081124	832430	1228775	857226	916128	1208952	709131	1192224	0	1317760	564309	1386565	908870	1071686	1446751	1387937	889572	1390754	1490058	457780	845629	230419	1276180	794943	1407506	1332227	1431481	838220	934312
480171	575184	497724	466267	166582	795061	710680	414192	481320	523519	215757	1269886	432952	481411	157153	457396	430943	399103	613286	298411	1317760	0	1545799	81073	458037	495956	602105	277289	428295	198821	175941	1442037	478698	1128570	180620	589544	175719	475294	190557	477651	556931
1099469	1094369	1422500	1086521	1420420	1872545	1768611	1213632	1063493	1044718	1330671	314392	1312278	1063584	1459930	1088381	1147282	1440106	940286	1423379	564309	1545799	0	1613507	1136867	1298628	1673693	1615934	1116514	1618751	1718055	127805	1072571	439168	1503122	1021885	1634449	1559169	1658423	1065162	1161254
548975	643989	572089	535072	235387	869427	785045	482997	550125	592324	284561	1338691	501757	550216	182797	526201	499748	473468	682091	372776	1386565	81073	1613507	0	505612	520887	674863	350047	475870	158276	140936	1489612	526272	1176145	178700	637118	226532	548052	129442	525226	604506
41193	216825	394096	70417	346310	844141	740208	185228	75396	138468	247164	862051	283875	75487	336205	64463	122168	411703	205451	355381	908870	458037	1136867	505612	0	185809	647268	554428	97945	482781	626729	1037980	81982	724513	367151	208699	543123	532744	522453	80102	62229
217041	388746	573205	242337	459380	1023250	919316	364337	247316	310388	343992	1023812	462983	247407	339248	253523	301276	590811	367212	569248	1071686	495956	1298628	520887	185809	0	828147	697227	278824	482356	669320	1193580	244971	880113	366727	374852	645775	713623	522029	235702	174418
613655	615670	254886	595376	549016	246004	103657	489483	610310	610230	598301	1398877	367406	610401	727418	586504	529262	242212	742277	376120	1446751	602105	1673693	674863	647268	828147	0	377569	556030	800461	661960	1569693	606354	1256226	772800	637155	505684	134032	792197	605386	689423
551402	593028	342679	537499	231741	568525	484143	431800	552551	594750	344557	1341117	367233	552642	379736	528627	493389	244058	684518	192713	1387937	277289	1615934	350047	554428	697227	377569	0	500617	475117	303072	1514358	551019	1200891	425604	661865	146797	251491	466852	549973	629253
64333	162549	305075	42511	302916	755120	651186	96207	55905	107203	213167	841698	194853	55995	342426	33639	33146	322681	185098	305875	889572	428295	1116514	475870	97945	278824	556030	500617	0	500487	599791	1015116	54771	701649	384858	171374	516185	441019	540159	54935	147588
554219	649233	700911	540316	301979	991416	907035	488241	555368	597568	315799	1343935	583948	555459	170837	531444	504992	595457	687335	494765	1390754	198821	1618751	158276	482781	482356	800461	475117	500487	0	292281	1518266	554927	1204799	111623	665772	365286	672054	70176	553880	539052
653523	748537	649244	639620	332810	852915	768533	587544	654672	696871	389109	1443239	599181	654763	330505	630748	604295	550623	786639	449931	1490058	175941	1718055	140936	626729	669320	661960	303072	599791	292281	0	1614919	651580	1301452	315009	762425	155834	532709	259198	650533	729813
995706	990607	1318737	982759	1316658	1768782	1664849	1109869	959731	940956	1226909	194482	1208516	959822	1356167	984618	1043520	1336344	836523	1319617	457780	1442037	127805	1489612	1037980	1193580	1569693	1514358	1015116	1518266	1614919	0	966230	332828	1396781	915544	1528108	1452828	1552083	958821	1054913
30479	139083	355398	19420	353319	805443	701510	146530	6355	60726	263569	797755	245177	6446	392828	24274	80181	373005	141155	356277	845629	478698	1072571	526272	81982	244971	606354	551019	54771	554927	651580	966230	0	657796	431074	125676	562401	487239	586375	1588	110787
682239	677140	1005270	669292	1003191	1455315	1351382	796402	646264	627489	913442	148523	895049	646355	1042700	671151	730053	1022877	523056	1006149	230419	1128570	439168	1176145	724513	880113	1256226	1200891	701649	1204799	1301452	332828	657796	0	1091746	610509	1223073	1147794	1247048	660486	749879
438590	533604	585282	424687	245617	963756	879374	372611	439739	481938	176694	1228306	468319	439830	56288	415815	389362	567797	571706	467895	1276180	180620	1503122	178700	367151	366727	772800	425604	384858	111623	315009	1396781	431074	1091746	0	545638	361471	642571	157931	434083	418918
157197	75518	386199	138087	464165	836244	732310	228669	128562	75030	374415	747069	275977	128653	503674	140877	191027	403805	90469	467123	794943	589544	1021885	637118	208699	374852	637155	661865	171374	665772	762425	915544	125676	610509	545638	0	678482	535499	702457	125762	240867
569917	664930	470793	556014	236869	696640	612258	472146	571066	613265	305503	1359632	490855	571157	311940	547142	520689	372172	703032	286611	1407506	175719	1634449	226532	543123	645775	505684	146797	516185	365286	155834	1528108	562401	1223073	361471	678482	0	377775	354423	568687	647630
499132	501146	172579	480852	422205	324987	240606	374959	495786	495707	471490	1284353	245849	495877	600607	471980	414739	115401	627753	249309	1332227	475294	1559169	548052	532744	713623	134032	251491	441019	672054	532709	1452828	487239	1147794	642571	535499	377775	0	665682	487264	571043
593891	688905	685814	579988	344870	983152	898770	527913	595041	637240	353854	1383607	604493	595132	217321	571117	544664	587193	727007	486501	1431481	190557	1658423	129442	522453	522029	792197	466852	540159	70176	259198	1552083	586375	1247048	157931	702457	354423	665682	0	594220	579055
31825	138903	354688	18710	352609	804733	700800	145820	8769	70339	262523	790346	244209	8860	391782	24437	87674	372037	133746	355231	838220	477651	1065162	525226	80102	235702	605386	549973	54935	553880	650533	958821	1588	660486	434083	125762	568687	487264	594220	0	109629
82304	254009	438468	107600	431552	888513	784579	229600	112579	175651	341803	886438	328246	112670	393260	118786	166539	456074	229838	434511	934312	556931	1161254	604506	62229	174418	689423	629253	147588	539052	729813	1054913	110787	749879	418918	240867	647630	571043	579055	109629	0
