0	9734	16437	1946	17354	40163	32906	7578	2467	4945	12651	39514	11428	2295	18810	1781	4293	17490	7951	17242	43158	22727	53462	26528	3036	10418	28625	28016	3356	26784	32600	48277	2130	32913	21076	8591	28640	22881	29841	1925	3832
9734	0	18539	8192	23495	42265	35008	10943	8102	5194	18793	40362	13530	8106	24952	8705	8952	19592	8799	21370	44006	28868	54310	32669	11874	19346	30727	32143	9381	32926	38741	49125	7966	33761	27218	4350	34781	24983	35982	7827	12760
16437	18539	0	15489	20691	25908	16798	11392	16613	18198	21257	53696	5710	16442	27367	15257	12937	5394	22133	12793	57294	25974	67644	30203	18510	26380	12517	18275	14006	35341	34154	62459	16295	47095	29633	20727	26223	10308	35755	16071	19794
1946	8192	15489	0	16911	39526	32269	6941	1842	3822	12208	38830	10791	1575	18368	883	3656	16853	7267	16799	42427	22284	52777	26085	4324	11796	27988	27573	2274	26341	32157	47592	1428	32229	20633	7468	28197	22244	29398	1205	5210
17354	23495	20691	16911	0	39389	33732	13706	17689	19830	7409	54773	15989	17518	11635	16302	15749	18398	23210	13047	58417	8854	68720	12655	19000	25418	28525	12966	15051	16979	18348	63535	17371	48172	14333	23476	13206	22107	18066	17148	20591
40163	42265	25908	39526	39389	0	11471	35344	40565	42149	41998	77648	29290	40393	48108	39208	36889	23182	46085	29678	81292	42206	91596	46435	42462	50332	14078	32139	37958	53110	47802	86411	40247	71047	50374	44679	40087	18034	51987	40023	43746
32906	35008	16798	32269	33732	11471	0	27889	33110	34695	36498	70194	22208	32939	42608	31754	29434	17681	38631	24178	73838	36706	84142	40934	35007	42877	5468	26639	30503	47610	42301	78956	32792	63593	44873	37225	34587	12534	46486	32569	36291
7578	10943	11392	6941	13706	35344	27889	0	7759	9900	10812	44842	6434	7587	16972	6402	4082	12496	13279	12203	48439	20888	58790	24689	9656	17526	23631	22977	5152	24945	30761	53605	7441	38241	19238	13130	25736	17887	28002	7217	10940
2467	8102	16613	1842	17689	40565	33110	7759	0	3344	13074	38092	11573	31	19233	1997	4426	17635	6529	17665	41736	23149	52039	26950	4644	12116	28770	28438	3130	27207	33023	46854	920	31491	21499	6990	29063	23026	30263	980	5530
4945	5194	18198	3822	19830	42149	34695	9900	3344	0	15351	37402	13074	3574	21510	4172	6704	19137	5839	19942	41046	25427	51349	29228	7342	14814	30272	30715	5299	29484	35300	46164	3434	30801	23776	4442	31340	24528	32540	3970	8228
12651	18793	21257	12208	7409	41998	36498	10812	13074	15351	0	49967	16011	12712	7357	11496	10943	20643	18404	15159	53611	10831	63914	14632	13859	18811	30770	19353	10245	16448	20704	58729	12565	43366	10071	18670	16744	24352	17964	12473	15785
39514	40362	53696	38830	54773	77648	70194	44842	38092	37402	49967	0	49010	38276	56671	39354	41864	55073	32746	55102	17172	60587	16202	64388	42047	49482	66208	65876	40591	64644	70460	10421	38801	7876	58937	36567	66500	60464	67701	38281	42787
11428	13530	5710	10791	15989	29290	22208	6434	11573	13074	16011	49010	0	11624	22525	10439	8119	6635	17316	10861	52476	23853	62826	27654	13692	21562	17950	19516	9188	30499	33347	57641	11477	42278	24791	15910	27119	12026	32758	11416	14976
2295	8106	16442	1575	17518	40393	32939	7587	31	3574	12712	38276	11624	0	19271	2035	4464	17672	6566	17702	41726	23187	52077	26988	4682	12154	28808	28476	3167	27244	33060	46892	958	31528	21536	7028	29100	23063	30301	1017	5568
18810	24952	27367	18368	11635	48108	42608	16972	19233	21510	7357	56671	22525	19271	0	17624	17072	26726	24532	21242	59692	8351	70043	10259	18095	18454	36853	21526	16374	9825	18225	64858	18694	49494	3502	24799	17631	30435	12353	18601	20928
1781	8705	15257	883	16302	39208	31754	6402	1997	4172	11496	39354	10439	2035	17624	0	3266	16463	7339	16409	42499	21894	52850	25695	4191	12012	27598	27183	1884	25951	31767	47665	1603	32301	20243	7605	27807	21854	29008	1372	5426
4293	8952	12937	3656	15749	36889	29434	4082	4426	6704	10943	41864	8119	4464	17072	3266	0	14098	10050	14900	45210	21436	55561	25237	6644	14514	25233	25674	2140	25493	31309	50376	4212	35012	19785	10317	27349	19489	28550	4301	7928
17490	19592	5394	16853	18398	23182	17681	12496	17635	19137	20643	55073	6635	17672	26726	16463	14098	0	23303	8697	58463	21225	68813	25454	19679	27549	12278	13526	15175	32129	29404	63628	17464	48265	29393	21896	21474	5860	31005	17403	20963
7951	8799	22133	7267	23210	46085	38631	13279	6529	5839	18404	32746	17316	6566	24532	7339	10050	23303	0	23470	36091	28955	46442	32756	10415	17850	34576	34244	8959	33012	38828	41256	7169	25893	27304	4935	34868	28831	36069	6649	11155
17242	21370	12793	16799	13047	29678	24178	12203	17665	19942	15159	55102	10861	17702	21242	16409	14900	8697	23470	0	58548	16150	68898	20379	19086	27355	18673	11291	15229	27054	24329	63713	17549	48350	23841	23654	16775	12256	25930	17457	20769
43158	44006	57294	42427	58417	81292	73838	48439	41736	41046	53611	17172	52476	41726	59692	42499	45210	58463	36091	58548	0	64011	30340	67812	45392	52906	69632	69221	44016	67989	73805	25302	42225	12259	62361	39992	69925	63888	71125	41705	46211
22727	28868	25974	22284	8854	42206	36706	20888	23149	25427	10831	60587	23853	23187	8351	21894	21436	21225	28955	16150	64011	0	73926	4654	23801	26485	30657	15031	20257	11189	10198	68741	22577	53377	10232	28682	10174	24239	10066	22484	25797
53462	54310	67644	52777	68720	91596	84142	58790	52039	51349	63914	16202	62826	52077	70043	52850	55561	68813	46442	68898	30340	73926	0	77950	55609	63044	79770	79438	54153	78206	84022	6700	52363	21993	72499	50129	80062	74026	81263	51843	56349
26528	32669	30203	26085	12655	46435	40934	24689	26950	29228	14632	64388	27654	26988	10259	25695	25237	25454	32756	20379	67812	4654	77950	0	27442	28166	34991	19366	23898	9219	8583	72382	26219	57019	10020	32323	13256	28574	6784	26126	29438
3036	11874	18510	4324	19000	42462	35007	9656	4644	7342	13859	42047	13692	4682	18095	4191	6644	19679	10415	19086	45392	23801	55609	27442	0	10174	30810	29953	5541	25252	33485	50671	4802	35307	19544	11263	29525	25066	28309	4391	3626
10418	19346	26380	11796	25418	50332	42877	17526	12116	14814	18811	49482	21562	12154	18454	12012	14514	27549	17850	27355	52906	26485	63044	28166	10174	0	38747	37029	13477	25475	35843	57988	12251	42625	19767	18474	34703	33002	28532	11709	9191
